Year,Scenario,name,M,L,U
2027,Dx_POC_Hi,AvtMor,6.989684825918182e-4,5.897457960688933e-4,8.309878851968585e-4
2027,Dx_POC_Hi_ITT,AvtInc,0.0114623920444243,0.008784583257698224,0.01598215791162329
2027,Dx_POC_Hi_ITT,AvtMor,0.026939696899728957,0.02156622478744752,0.03240116868882229
2027,Dx_POC_ITT,AvtInc,0.012675602205982035,0.009721606993556899,0.01765904225586388
2027,Dx_POC_ITT,AvtMor,0.029634882504111705,0.023673844834738854,0.03568309696555687
2027,Dx_TSwab,AvtInc,2.945105843979155e-4,2.2686455326378072e-4,4.1049164089597423e-4
2027,Dx_TSwab,AvtMor,7.563393733339976e-4,6.16458613062879e-4,8.972241394009726e-4
2027,Dx_TSwab_ITT,AvtInc,0.011500635996271635,0.008814254017039093,0.01603300352113798
2027,Dx_TSwab_ITT,AvtMor,0.026985673103791796,0.021583683496767404,0.03245216130689746
2027,Mass_NAAT_20_HRZE,AvtInc,0,0,0
2027,Mass_NAAT_20_HRZE,AvtMor,0,0,0
2027,Mass_NAAT_20_PAN,AvtInc,-4.571982637368068e-10,-2.318176208969574e-9,-1.6512956818612004e-10
2027,Mass_NAAT_20_PAN,AvtMor,-8.136981977662437e-10,-2.468429416525286e-9,-3.9106334229455035e-10
2027,Mass_Xray_10_HRZE,AvtInc,0,0,0
2027,Mass_Xray_10_HRZE,AvtMor,0,0,0
2027,Mass_Xray_10_PAN,AvtInc,-4.571982637368068e-10,-2.318176208969574e-9,-1.6512956818612004e-10
2027,Mass_Xray_10_PAN,AvtMor,-8.136981977662437e-10,-2.468429416525286e-9,-3.9106334229455035e-10
2027,TxPPM_LA-INJ,AvtInc,-2.6714609223177225e-4,-3.1850307274211543e-4,-2.2243000065370205e-4
2027,TxPPM_LA-INJ,AvtMor,4.725252386335785e-4,2.8261382989962556e-4,6.66802818793654e-4
2027,TxPPM_PAN-TB,AvtInc,-2.6714654030125914e-4,-3.185040250885953e-4,-2.2243075969146089e-4
2027,TxPPM_PAN-TB,AvtMor,4.7252058424010956e-4,2.826132004659044e-4,6.667056846752239e-4
2027,Tx_LA-INJ,AvtInc,1.9501668867829458e-10,1.6771898253646557e-10,2.259133829322728e-10
2027,Tx_LA-INJ,AvtMor,1.6850647566443116e-10,1.4450718291805042e-10,1.9353616034193275e-10
2027,Tx_PAN-TB,AvtInc,-4.571982637368068e-10,-2.318176208969574e-9,-1.6512956818612004e-10
2027,Tx_PAN-TB,AvtMor,-8.136981977662437e-10,-2.468429416525286e-9,-3.9106334229455035e-10
2027,Vac_BCG,AvtInc,3.2788522264819306e-7,2.767131716140533e-7,4.0231758466451047e-7
2027,Vac_BCG,AvtMor,1.262740984954368e-7,1.0143883710657877e-7,1.5987528613099311e-07
2027,Vac_BCG-M72,AvtInc,-1.2274284356022933e-7,-5.705466048334629e-7,2.9801529073344845e-7
2027,Vac_BCG-M72,AvtMor,-7.470972725348757e-9,-1.1843589129280506e-8,-2.1567323092029585e-9
2027,Vac_M72,AvtInc,-1.2274272845441118e-7,-5.705465168024666e-7,2.9801529559937645e-7
2027,Vac_M72,AvtMor,-7.470972725348757e-9,-1.1843589129280506e-8,-2.1567323092029585e-9
2027,Vac_Recurrence,AvtInc,-2.9116608857738646e-8,-1.5976564528687983e-7,7.942018392726885e-8
2027,Vac_Recurrence,AvtMor,-2.031654039705025e-9,-3.350764618665232e-9,-5.31615418858656e-10
2028,Baseline,AvtInc,0,0,0
2028,Baseline,AvtMor,0,0,0
2028,CombinePPM_Hi,AvtInc,0.009295440502558183,0.008718963357323023,0.009732793229028282
2028,CombinePPM_Hi,AvtMor,0.004939113050880319,0.004556241008046126,0.005173668627733019
